realized_pnl_usd_august,trade_count_august,unique_tokens_august,wallet_address
0.0,72,16,0x067f98bef9092c2643b91ee4c3098bfa14b05179
0.0,11,6,0x79f1529530d6fe13d54bbb10194d31a418f699ed
-1121.6916952440347,71,8,0x25699f7b5472abc002384851c82783ae3e7ebae7
-437.4245780686334,49,8,0x63d6cbd12a2984c211ff623074e9362e4520e902
0.0,1,1,0xf05527f58934c26239d7baba09271dfc48121a76
-0.027347806938326613,41,12,0xf4785df70fa019ffcfc64010dbb7d33850add4fc
0.0,35,7,0xf9d9bd237948a4d7d6125fa64dae3efd227b0d34
-183.88187559190578,78,4,0xdfeb50f97bb6a660697849ac13645e2e26cc4915
101.261628925455,134,8,0x49936e3f4c691f9e59fdafa92f905e0e02a59fba
0.0,5,3,0x61842a9092230148fbb690d377add823f030ccb6
0.0,4,3,0xfb95733040ccccd9f37669aeea7e1541e6ce615a
179.84926262337362,274,3,0xd127468833c2f90ab00404d062fa36e51b54af54
0.0,12,9,0x1df44933ba4b3996f54326ebf4d15c411a5e037b
26.32518837623911,22,5,0x148ff8c581be8a7f3536f28bdfd7c84dd109ba91
0.0,2,2,0xee3f7cc12feb26e3a4f0510f262ed6d63597ed19
1359.1853397494729,66,4,0xe330bb712a388d3d5ccd156fb20f472bcd969013
-98.83128304704091,47,9,0x3694a6bbf12bc684f817f5d17b30de449d42d7d2
0.0,7,3,0xc02342cfc9cab23a0bc6e16d93d16adc130c449c
-3.6712513050461872,33,8,0x5000afd95cbc51054caf4c5330342890ead87b70
19.108687624530177,4,3,0xe1c19ea6009f545fa94344b05664129e75749e22
0.0,6,3,0x1f5bbef0722b6188b87b29dff530d6cfb5a46967
330.431393639847,50,10,0x99595fb33e2599688b78f93569875c010648a359
-6.480156293062114,15,9,0x128b4d9a062d137710f362d2b5c0b81e2726cc40
0.0,11,10,0xc7a69785f87f0b41f943877b2c4f34ae1a7ef6fd
0.0,2,2,0x003c4bcd8bf545572d8387c521ab9c11a7ecf188
56.102314826947286,34,8,0x4dcd741ccb80fc7b2fb52a6ed1c7300ebd6e3685
-124.19177369884156,78,2,0x901037edc735252913aca7ef563769879cc32f97
-4386.532560057127,63,5,0xb952dba0e4ccdea1918539cdbf4d08e6ab7209d0
0.0,1,1,0x3697c3bff63d60aceb471773cbab378fe3f9b827
0.0,7,3,0x87cabdf71da010c33fe7198b36108a55ed80ee4c
-222.36007097319637,52,13,0xd7f24f9a29a5e71c9721b1e757714ef39ff7d2d7
1199.9399246112025,48,41,0x749ebc20eafa226186ad072a57be2cade8e7ad92
0.0,11,2,0x9ff8978201bcf41c20ebc483a8654e9dfb34c3b5
-17.350037442136994,50,5,0xdeda09916a9fdecc6292284ae2a6dbc37904377a
0.0,1,1,0x3cf78025066034ff0ac0aac79680bacdeabb7927
0.0,1,1,0xebf9b5c405c3c0ce0d78545b8be5c43cc7ba5cf0
0.0,93,41,0x53f484624864b64ef1e5f8e01399da6bd2c025ee
0.0,2,1,0xd07c104e8171911927f6c0065c06a2bf67dba139
0.0,2,2,0x057a77b057d858492b8b306d7219f073330a04fa
0.0,21,6,0x4c4b46abe88f996d1b3b4a8fa41876535675ef1e
0.0,5,4,0x72f479df9660dc359be391f67e9cd7f52fea7df7
10604.746634824605,449,14,0xd69c2c241fb2cdcc8cab87bab4698d00dde800f9
-15.646497938212534,24,8,0x8f1fc3766884d4a890acb2cf4bd7a9af7b2a6932
-13.221176756755995,39,6,0x2f7bb81a209c24958c50c6ba7320ae56124461f2
0.0,3,2,0x2f85d4fefdc45185103c9fd080f10f76882f3e22
2087.3303117719565,263,34,0x4123ffc81579e38dfff74b75d8bdf21c41e62237
1534.7276759302536,225,15,0xe95850f71b9c33285e48315062cf93a79240c1f1
0.0,3,3,0xd1d1268ec43bb0ebbc32ec670ba2dadbddc725e0
